Nome,Diretor,Nota,Gênero
Finding Dory,Andrew Stanton,4.0,"Animação,Aventura,Comédia,Família"
Captain Fantastic,Matt Ross (I),4.4,"Comédia,Drama"
Sleeping Giant,Andrew Cividino,3.3,"Aventura,Drama"
Philadelphia,Jonathan Demme,4.2,Drama
The Siege of Jadotville,Richie Smyth,3.8,"Ação,Drama,Guerra,Thriller"
Amores Perros,Alejandro G. Iñárritu,4.2,"Drama,Thriller"
Elle,Paul Verhoeven,3.8,"Drama,Thriller"
Training Day,Antoine Fuqua,3.9,"Drama,Policial,Suspense"
Don't Breathe,Fede Alvarez,3.7,"Policial,Suspense,Terror"
Under Sandet,Martin Zandvliet,4.2,"Drama,Guerra,História"
Güeros,Alonso Ruizpalacios,4.0,"Comédia,Drama"
Red Tails,Anthony Hemingway (II),3.5,"Ação,Drama,Guerra,História"
Dazed and Confused,Richard Linklater,3.7,"Comédia,Drama"
Dope,Rick Famuyiwa,4.0,"Comédia,Drama,Policial"
The Conjuring 2,James Wan,3.8,"Mistério,Terror,Thriller"
Chocolat,Roschdy Zem,4.0,Drama
Flipped,Rob Reiner,4.1,"Comédia,Drama,Romance"
L.A. Confidential,Curtis Hanson,4.1,"Drama,Mistério,Policial,Suspense"
Control,Anton Corbijn,4.3,"Biografia,Drama,Música"
Nise: O Coração da Loucura,Roberto Berliner,4.3,"Biografia,Drama,História"
La Jaula de Oro,Diego Quemada-Diez,4.2,Drama
"Love, Rosie",Christian Ditter,3.8,"Comédia,Romance"
Estômago,Marcos Jorge,4.2,"Drama,Nacional"
Saul Fia,László Nemes,3.7,"Drama,Guerra,Thriller"
"C'est Pas Moi, Je le Jure!",Philippe Falardeau,4.4,"Comédia,Drama"
Zootopia,Byron Howard,4.2,"Animação,Aventura,Comédia,Família,Mistério,Policial"
"Good Morning, Vietnam",Barry Levinson,3.8,"Biografia,Comédia,Drama,Guerra"
Train de Vie,Radu Mihaileanu,4.3,"Comédia,Drama,Guerra"
Little Boy,Alejandro Monteverde,4.3,"Comédia,Drama,Guerra"
The Hunger Games,Gary Ross (I),3.8,"Ação,Aventura,Ficção Científica ,Suspense"
Green Room,Jeremy Saulnier,3.3,"Música,Policial,Suspense,Terror"
Bad Boys,Michael Bay,3.2,"Ação,Comédia,Policial,Thriller"
The Fighter,David O. Russell,4.0,"Biografia,Drama,Esporte"
Once Upon a Time in America,Sergio Leone,4.3,"Drama,Policial"
The Bourne Supremacy,Paul Greengrass,3.9,"Ação,Thriller"
The Big Short,Adam McKay,3.7,"Biografia,Drama"
We Need to Talk About Kevin,Lynne Ramsay,4.1,"Drama,Suspense"
Captain America: Civil War,Anthony Russo (I),3.9,"Ação,Aventura,Ficção Científica ,Super-herói"
The Bourne Ultimatum,Paul Greengrass,3.9,"Ação,Mistério,Thriller"
Le Tout Nouveau Testament,Jaco Van Dormael,3.9,Drama
The Bourne Identity,Doug Liman,3.8,"Ação,Mistério,Thriller"
The Help,Tate Taylor,4.4,Drama
Freakonomics: The Movie,Alex Gibney,3.3,Documentário
The Tree of Life,Terrence Malick,3.4,"Drama,Fantasia"
Fast & Furious,Justin Lin,3.4,"Ação,Drama,Policial"
Kriegerin / Combat Girls,David Wnendt,3.8,Drama
Fast & Furious 6,Justin Lin,3.6,"Ação,Policial,Thriller"
Furious 7,James Wan,3.8,"Ação,Policial,Thriller"
Fast Five,Justin Lin,3.4,"Ação,Policial,Suspense"
2 Fast 2 Furious,John Singleton,3.1,"Ação,Policial"
El Clan,Pablo Trapero,3.7,"Biografia,Drama,Policial"
Suburra,Stefano Sollima,3.7,"Drama,Policial,Thriller"
The Fast and the Furious: Tokyo Drift,Justin Lin,3.2,"Ação,Drama,Policial,Thriller"
Runaway Jury,Gary Fleder,3.8,"Drama,Suspense"
(500) Days of Summer,Marc Webb,4.0,"Comédia,Drama,Romance"
42,Brian Helgeland,4.1,"Biografia,Drama,Esporte"
The Fast and the Furious,Rob Cohen,3.4,"Ação,Policial,Suspense"
The Hateful Eight,Quentin Tarantino,4.1,"Drama,Faroeste,Mistério,Suspense"
Spotlight,Tom McCarthy (XXII),4.1,"Biografia,Drama,História"
Concussion,Peter Landesman,3.8,"Drama,Esporte"
Brooklyn,John Crowley (III),3.8,"Drama,Romance"
Room,Lenny Abrahamson,4.4,Drama
The Corporation,Jennifer Abbott,4.2,"Documentário,História"
Justiça,Maria Augusta Ramos,3.9,"Documentário,Nacional,Policial"
Cultures of Resistance,Iara Lee,4.7,Documentário
The Greatest Game Ever Played,Bill Paxton,3.9,"Drama,Esporte,História"
Deadpool,Tim Miller (X),4.0,"Ação,Aventura,Comédia,Super-herói"
La Giovinezza,Paolo Sorrentino,4.0,Drama
Mar Adentro,Alejandro Amenábar,4.2,"Biografia,Drama,Romance"
Meu Nome Não é Johnny,Mauro Lima,3.5,"Biografia,Comédia,Drama,Nacional"
Celda 211,Daniel Monzón,3.8,"Ação,Drama"
Never Let Me Go,Mark Romanek,3.8,"Drama,Ficção Científica ,Romance"
Seven Years in Tibet,Jean-Jacques Annaud,3.8,"Aventura,Biografia,Drama"
Creed,Ryan Coogler,4.0,"Drama,Esporte"
The Straight Story,David Lynch (I),4.2,"Biografia,Drama"
"Paris, Texas",Wim Wenders,4.3,Drama
Steve Jobs,Danny Boyle,3.5,"Biografia,Drama"
Slumdog Millionaire,Danny Boyle,4.0,"Drama,Romance,Thriller"
Ex Machina,Alex Garland,3.9,"Drama,Ficção Científica ,Mistério,Thriller"
Kes,Ken Loach,4.2,"Drama,Família"
The Danish Girl,Tom Hooper,4.0,"Biografia,Drama,Romance"
Bent,Sean Mathias,3.8,"Drama,Guerra,História,Romance"
Chinatown,Roman Polanski,4.1,"Drama,Mistério,Thriller"
127 Hours,Danny Boyle,3.8,"Biografia,Drama"
The Stanford Prison Experiment,Kyle Patrick Alvarez,3.8,"Drama,Suspense"
Sicario,Denis Villeneuve,3.7,"Ação,Drama,Policial,Thriller"
A Beautiful Mind,Ron Howard,4.3,"Biografia,Drama"
Tangerine,Sean Baker (II),4.0,"Comédia,Drama"
Bronson,Nicolas Winding Refn,3.8,"Biografia,Drama"
Crossroads,Walter Hill,4.0,"Drama,Mistério,Música,Romance"
Casa Grande,Fellipe Gamarano Barbosa,3.5,"Drama,Nacional"
The Revenant,Alejandro G. Iñárritu,4.0,"Ação,Aventura,Drama,Faroeste,Thriller"
Before Midnight,Richard Linklater,4.2,"Drama,Romance"
Stand by Me,Rob Reiner,4.3,"Aventura,Drama"
The Martian,Ridley Scott,4.0,"Aventura,Drama,Ficção Científica "
Before Sunset,Richard Linklater,4.2,"Drama,Romance"
About Time,Richard Curtis (I),4.2,"Comédia,Drama,Fantasia"
Jodaeiye Nader az Simin,Asghar Farhadi,4.2,Drama
Mr. Nobody,Jaco Van Dormael,4.3,"Drama,Fantasia,Ficção Científica ,Romance"
Requiem for a Dream,Darren Aronofsky,4.3,Drama
Chef,Jon Favreau,3.7,Comédia
Before Sunrise,Richard Linklater,4.3,"Drama,Romance"
Electrick Children,Rebecca Thomas,3.7,Drama
Rudderless,William H. Macy,4.1,"Comédia,Drama,Música"
Ran,Akira Kurosawa,4.5,"Ação,Drama,Guerra"
Empire of the Sun,Steven Spielberg,4.2,"Drama,Guerra"
Nowhere Boy,Sam Taylor-Johnson,3.8,"Biografia,Drama,Música"
The Class of '92,Danny Boyle,4.2,Documentário
Hannah Arendt,Margarethe von Trotta,4.0,"Biografia,Drama"
"Il Buono, Il Brutto, Il Cattivo",Sergio Leone,4.6,"Aventura,Faroeste"
Per Qualche Dollaro in Più,Sergio Leone,4.3,"Ação,Faroeste,Suspense"
O Dia do Galo,Cris Azzi,4.2,"Documentário,Drama,Esporte,Nacional"
Per un Pugno di Dollari,Sergio Leone,4.2,"Ação,Faroeste"
Nuovo Cinema Paradiso,Giuseppe Tornatore,4.5,Drama
Paradise Now,Hany Abu-Assad,3.9,"Drama,Guerra,Policial,Suspense"
"Roma, Città Aperta",Roberto Rossellini,4.3,"Drama,Guerra"
Natural Born Killers,Oliver Stone,4.0,"Ação,Drama,Policial,Romance"
Letters from Iwo Jima,Clint Eastwood,4.0,"Drama,Guerra,História"
Bloody Sunday,Paul Greengrass,3.8,"Drama,Guerra,História"
Falling Down,Joel Schumacher,3.9,"Drama,Policial,Thriller"
Der Untergang,Oliver Hirschbiegel,4.1,"Biografia,Drama,Guerra,História"
Mystic River,Clint Eastwood,4.1,"Drama,Mistério,Policial,Suspense"
Detachment,Tony Kaye (I),4.4,Drama
Europa Europa,Agnieszka Holland,4.0,"Drama,Guerra,História"
Woman in Gold,Simon Curtis (I),4.0,Drama
Maze Runner: The Scorch Trials,Julia Kelleher,3.4,"Ação,Aventura,Ficção Científica ,Thriller"
Danny Collins,Dan Fogelman,3.7,"Comédia,Drama"
The Great Dictator,Charles Chaplin,4.6,"Comédia,Drama,Guerra"
Ant-Man,Peyton Reed,3.7,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
The Man from U.N.C.L.E.,Guy Ritchie,3.6,"Ação,Aventura,Comédia"
Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,4.3,Documentário
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,4.0,"Comédia,Drama"
Beasts of No Nation,Cary Fukunaga,4.3,"Drama,Guerra"
Que Horas Ela Volta?,Anna Muylaert,4.3,"Drama,Nacional"
The Little Death,Josh Lawson (II),3.7,Comédia
Mr. Holmes,Bill Condon,3.8,"Drama,Mistério"
Southpaw,Antoine Fuqua,3.8,"Ação,Drama,Esporte"
CBGB,Randall Miller,3.7,"Drama,Música"
9. april,Roni Ezra,3.5,"Drama,Guerra"
Goal II: Living the Dream,Jaume Collet-Serra,3.2,"Drama,Esporte"
Inside Out,Pete Docter,4.3,"Animação,Aventura,Comédia,Drama,Família,Fantasia"
Sem Pena,Eugênio Puppo,4.3,"Documentário,Nacional"
Lawless,John Hillcoat,3.8,"Biografia,Drama,Policial"
Avengers: Age of Ultron,Joss Whedon,3.7,"Ação,Aventura,Fantasia,Ficção Científica ,Super-herói"
The Judge,David Dobkin,3.8,Drama
Unforgiven,Clint Eastwood,4.3,Faroeste
Jarhead,Sam Mendes,3.6,"Biografia,Drama,Guerra"
Still Alice,Richard Glatzer,4.1,Drama
Memento,Christopher Nolan,4.2,"Mistério,Suspense"
Spy,Paul Feig,3.5,"Ação,Comédia,Policial"
American Pie Presents Band Camp,Steve Rash,2.6,Comédia
Munich,Steven Spielberg,3.8,"Drama,História,Suspense"
American Pie Presents Beta House,Andrew Waller,2.7,Comédia
Locke,Steven Knight,3.5,Drama
American Pie,Chris Weitz,3.3,"Comédia,Romance"
American Pie Presents The Naked Mile,Joe Nussbaum,2.6,Comédia
American Wedding,Jesse Dylan,3.2,"Comédia,Romance"
Hævnen,Susanne Bier,3.9,Drama
Inside Llewyn Davis,Ethan Coen,3.8,"Comédia,Drama,Música"
Non-Stop,Jaume Collet-Serra,3.5,"Ação,Thriller"
American Pie 2,J.B. Rogers,3.1,"Comédia,Romance"
Rosemary's Baby,Roman Polanski,3.9,"Drama,Mistério,Terror"
Fair Play,Andrea Sedlácková,3.3,Drama
Leviafan,Andrei Zvyagintsev,3.8,Drama
Goodfellas,Martin Scorsese,4.4,"Biografia,Drama,Policial,Thriller"
Mad Max: Fury Road,George Miller (II),4.2,"Ação,Aventura,Ficção Científica ,Suspense"
I Origins,Mike Cahill (VI),4.2,"Drama,Ficção Científica "
Idi i Smotri,Elem Klimov,4.5,"Drama,Guerra,Thriller"
The Fall,Tarsem Singh,4.2,"Aventura,Drama,Fantasia"
Interstellar,Christopher Nolan,4.4,"Aventura,Drama,Ficção Científica "
Apocalypse Now,Francis Ford Coppola,4.3,"Drama,Guerra"
Domínio Público,Fausto Mota,4.5,"Documentário,Nacional"
Unbroken,Angelina Jolie,3.9,"Biografia,Drama,Esporte,Guerra"
The Shining,Stanley Kubrick,4.3,"Mistério,Terror"
"McFarland, USA",Niki Caro,3.8,"Biografia,Drama,Esporte"
The Color Purple,Steven Spielberg,4.4,Drama
Mommy,Xavier Dolan,4.3,Drama
Kingsman: The Secret Service,Matthew Vaughn,4.0,"Ação,Aventura,Comédia,Super-herói"
The Pianist,Roman Polanski,4.4,"Biografia,Drama,Guerra"
The Departed,Martin Scorsese,4.2,"Drama,Policial,Thriller"
Inception,Christopher Nolan,4.4,"Ação,Ficção Científica ,Thriller"
12 Angry Men,Sidney Lumet,4.6,Drama
The Maze Runner,Wes Ball,3.6,"Ação,Ficção Científica ,Mistério,Thriller"
Raging Bull,Martin Scorsese,4.2,"Biografia,Drama,Esporte"
Dead Poets Society,Peter Weir,4.3,Drama
Braveheart,Mel Gibson,4.1,"Biografia,Drama,Guerra,História"
Argo,Ben Affleck,3.9,"Biografia,Drama,História,Thriller"
Big Hero 6,Chris Williams (IX),4.2,"Ação,Animação,Aventura,Comédia,Drama,Família,Ficção Científica ,Super-herói"
The Imitation Game,Morten Tyldum,4.3,"Biografia,Drama,Guerra,Thriller"
Selma,Ava DuVernay,4.2,"Drama,História"
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,3.8,"Comédia,Drama,Super-herói"
Wild,Jean-Marc Vallée,3.8,"Biografia,Drama"
American Sniper,Clint Eastwood,3.6,"Ação,Biografia,Drama,Guerra"
Le Gamin au Vélo,Jean-Pierre Dardenne,3.7,Drama
The Grand Budapest Hotel,Wes Anderson (I),4.2,"Aventura,Comédia,Drama"
The Damned United,Tom Hooper,4.0,"Biografia,Drama,Esporte"
Rounders,John Dahl,3.6,"Drama,Policial"
The Book Thief,Brian Percival,4.0,"Drama,Guerra"
How to Train Your Dragon 2,Dean DeBlois,4.1,Animação
Whiplash,Damien Chazelle,4.4,"Drama,Música"
Foxcatcher,Bennett Miller,3.3,"Biografia,Drama,Esporte"
Tore tanzt,Katrin Gebbe,3.8,"Drama,Policial,Terror,Thriller"
Gone Girl,David Fincher,4.2,"Drama,Mistério,Policial,Suspense"
Jurassic Park,Steven Spielberg,3.9,"Aventura,Ficção Científica ,Suspense"
How to Train Your Dragon,Chris Sanders (II),4.2,"Animação,Aventura,Comédia,Drama,Família,Fantasia"
El Secreto de Sus Ojos,Juan José Campanella,4.3,"Drama,Mistério,Thriller"
Twelve Monkeys,Terry Gilliam,3.9,"Drama,Ficção Científica ,Suspense"
Radio,Michael Tollin,4.0,"Biografia,Drama,Esporte"
Scent of a Woman,Martin Brest,4.3,Drama
Blow,Ted Demme,3.9,"Biografia,Drama,Policial"
The Last King of Scotland,Kevin Macdonald (I),4.0,"Biografia,Drama,História,Suspense"
The F Word,Michael Dowse (I),3.5,"Comédia,Drama,Romance"
Crash,Paul Haggis,3.9,"Drama,Policial,Thriller"
The Selfish Giant,Clio Barnard,3.8,Drama
John Q,Nick Cassavetes,3.9,"Drama,Suspense"
Nightcrawler,Dan Gilroy,4.0,"Drama,Policial,Thriller"
Looper,Rian Johnson,3.6,"Ação,Drama,Ficção Científica ,Thriller"
Coach Carter,Thomas Carter (II),4.0,"Biografia,Drama,Esporte"
Hot Fuzz,Edgar Wright,3.9,"Ação,Comédia"
Antichrist,Lars Von Trier,3.5,"Drama,Experimental,Terror"
Back to the Future Part III,Robert Zemeckis,4.1,"Aventura,Comédia,Faroeste,Ficção Científica "
Saving Mr. Banks,John Lee Hancock,3.8,"Biografia,Comédia,Drama"
The Theory of Everything,James Marsh,4.1,"Biografia,Drama,Romance"
Dumb & Dumber,Bobby Farrelly,3.1,Comédia
Guardians of the Galaxy,James Gunn (II),4.1,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
Fury,David Ayer,3.9,"Ação,Drama,Guerra"
Mandariinid,Zaza Urushadze,4.3,"Drama,Guerra"
Shooter,Antoine Fuqua,3.7,"Ação,Drama,Suspense"
Legends of the Fall,Edward Zwick,3.8,"Drama,Faroeste,Guerra,Romance"
Tyskungen,Per Hanefjord,3.3,Suspense
Boyz n the Hood,John Singleton,4.0,"Drama,Policial"
C'era una Volta il West,Sergio Leone,4.4,"Drama,Faroeste"
Amistad,Steven Spielberg,3.9,"Drama,História,Mistério"
Primal Fear,Gregory Hoblit,4.1,"Drama,Mistério,Policial,Suspense"
Back to the Future Part II,Robert Zemeckis,4.2,"Aventura,Comédia,Ficção Científica "
Little Man Tate,Jodie Foster,3.6,Drama
Max Manus,Espen Sandberg,3.7,"Biografia,Drama,Guerra,História"
Miracle,Gavin O'Connor (I),3.4,"Drama,Esporte,Família,História"
Yip Man,Wilson Yip (I),4.2,"Ação,Biografia,Drama"
Black Hawk Down,Ridley Scott,3.8,"Ação,Drama,Guerra,História"
Lucy,Luc Besson,3.3,"Ação,Ficção Científica ,Super-herói,Thriller"
Incendies,Denis Villeneuve,4.5,"Drama,Guerra,Mistério"
The Woodsman,Nicole Kassell,3.6,Drama
Der Rote Baron,Nikolai Müllerschön,3.5,"Ação,Aventura,Biografia,Drama,Guerra,História"
Léon,Luc Besson,4.3,"Ação,Drama,Policial,Suspense"
Quebrando o Tabu,Fernando Grostein Andrade,4.0,"Documentário,Nacional"
Rain Man,Barry Levinson,4.1,Drama
How to Be a Man,Chadd Harbold,3.1,Comédia
Searching for Bobby Fischer,Steven Zaillian,3.9,"Biografia,Drama"
Xin Hai Ge Ming,Jackie Chan,3.4,"Ação,Aventura,Drama,Guerra,História"
Airplane!,David Zucker (I),3.6,Comédia
Dawn of the Dead,Zack Snyder,3.5,"Ação,Terror"
A Hora da Estrela,Suzana Amaral,3.9,"Drama,Nacional"
Battle of Britain,Guy Hamilton (I),3.5,"Ação,Drama,Guerra,História"
The English Patient,Anthony Minghella,3.7,"Drama,Guerra,Romance"
Lord of the Flies,Harry Hook,3.7,"Aventura,Drama,Thriller"
Getúlio,João Jardim (I),3.1,"Biografia,Drama,História,Nacional,Suspense"
Serbuan Maut,Gareth Evans,3.9,"Ação,Policial,Thriller"
War Horse,Steven Spielberg,4.0,"Aventura,Drama,Guerra"
Sin City,Frank Miller (II),3.8,"Policial,Thriller"
Hugo,Martin Scorsese,4.0,"Aventura,Família,Fantasia,Mistério"
The Fault in Our Stars,Josh Boone,3.7,"Drama,Romance"
Hoje Eu Quero Voltar Sozinho,Daniel Ribeiro,4.1,"Drama,Nacional,Romance"
Captain America: The Winter Soldier,Anthony Russo (I),4.0,"Ação,Aventura,Ficção Científica ,Super-herói,Thriller"
22 Jump Street,Christopher Miller (II),3.5,"Ação,Comédia,Policial"
Avatar,James Cameron,3.6,"Ação,Aventura,Fantasia,Ficção Científica "
8 Mile,Curtis Hanson,3.5,"Drama,Música"
Capitães da Areia,Cecília Amado,3.3,"Drama,Nacional"
Carrie,Brian De Palma,3.7,"Drama,Mistério,Terror"
Seven Pounds,Gabriele Muccino,4.0,"Drama,Mistério"
Inglourious Basterds,Quentin Tarantino,4.4,"Aventura,Drama,Guerra"
Despicable Me,Chris Renaud,4.0,"Animação,Comédia,Família,Fantasia,Ficção Científica "
Before the Devil Knows You're Dead,Sidney Lumet,3.7,"Drama,Policial,Suspense"
La Vie d'Adèle,Abdellatif Kechiche,3.7,"Drama,Romance"
"Me, Myself & Irene",Bobby Farrelly,3.5,Comédia
Rescue Dawn,Werner Herzog,3.7,"Aventura,Biografia,Guerra"
Friends With Benefits,Will Gluck,3.5,"Comédia,Romance"
The Curious Case of Benjamin Button,David Fincher,4.1,"Drama,Fantasia,Romance"
Crank,Brian Taylor (V),3.2,"Ação,Policial,Thriller"
Earthlings,Shaun Monson,4.5,Documentário
Skyfall,Sam Mendes,3.9,"Ação,Aventura,Suspense"
The Double,Richard Ayoade,3.5,"Comédia,Drama,Thriller"
Puncture,Adam Kassen,3.6,"Biografia,Drama"
21 Jump Street,Christopher Miller (II),3.6,Comédia
The Hurt Locker,Kathryn Bigelow,3.5,"Ação,Drama,Guerra,Thriller"
Taegukgi hwinalrimyeo,Kang Je-Gyu,4.1,"Ação,Drama,Guerra"
The Butterfly Effect,Eric Bress,4.0,"Drama,Ficção Científica ,Thriller"
20 Centavos,Tiago Tambelli,3.3,"Documentário,História"
Back to the Future,Robert Zemeckis,4.4,"Aventura,Comédia,Ficção Científica "
Carlito's Way,Brian De Palma,4.2,"Drama,Policial,Thriller"
Vanilla Sky,Cameron Crowe,3.8,"Ficção Científica ,Mistério,Romance,Thriller"
Joan of Arc,Christian Duguay,3.1,"Aventura,Biografia,Drama"
Defiance,Edward Zwick,3.9,"Ação,Drama,Guerra,História,Suspense"
Die Fälscher,Stefan Ruzowitzky,4.0,"Drama,Guerra,História"
Lord of War,Andrew Niccol,3.8,"Drama,Policial,Suspense"
Le Fabuleux Destin D'Amélie Poulain,Jean-Pierre Jeunet,4.3,"Comédia,Romance"
Up In Smoke,Lou Adler,3.9,Comédia
The Thin Red Line,Terrence Malick,3.9,"Ação,Drama,Guerra"
Sky High,Mike Mitchell (VI),2.7,"Ação,Aventura,Comédia,Super-herói"
Awakenings,Penny Marshall (I),4.3,"Biografia,Drama"
The Omen,Richard Donner,3.9,"Mistério,Suspense,Terror"
The Joneses,Derrick Borte,3.2,"Comédia,Drama"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles (I),3.4,Comédia
Divergent,Neil Burger,3.5,"Aventura,Ficção Científica ,Mistério"
Cop Land,James Mangold,3.2,"Drama,Policial,Suspense"
Men of Honor,George Tillman Jr.,4.2,"Biografia,Drama"
I Am David,Paul Feig,4.1,"Aventura,Drama"
Cape Fear,Martin Scorsese,3.8,"Policial,Suspense,Terror"
The Bridge on the River Kwai,David Lean,4.1,"Aventura,Drama,Guerra"
Filth,Jon S. Baird,3.7,"Comédia,Drama,Policial"
Unbreakable,M. Night Shyamalan,3.7,"Drama,Ficção Científica ,Mistério,Super-herói,Suspense"
Donnie Brasco,Mike Newell (I),3.8,"Biografia,Drama,Policial"
Cashback,Sean Ellis (II),3.7,"Comédia,Drama"
The Talented Mr. Ripley,Anthony Minghella,3.8,"Drama,Policial,Suspense"
Over the Hedge,Karey Kirkpatrick,3.3,"Animação,Aventura,Comédia,Família"
Donnie Darko,Richard Kelly (II),4.2,"Drama,Ficção Científica ,Mistério"
Paraísos Artificiais,Marcos Prado,3.2,"Drama,Nacional"
Toy Story 3,Lee Unkrich,4.3,"Animação,Aventura,Comédia,Família,Fantasia"
Watchmen,Zack Snyder,4.0,"Ação,Drama,Mistério,Super-herói"
Monsters Inc.,Pete Docter,4.2,"Animação,Aventura,Comédia,Família,Fantasia"
Toy Story 2,John Lasseter,4.0,"Animação,Aventura,Comédia,Família,Fantasia"
Clue,Jonathan Lynn,3.8,"Comédia,Mistério,Policial,Suspense"
Midnight in Paris,Woody Allen,4.0,"Comédia,Fantasia,Romance"
The Bang Bang Club,Steve Silver,4.0,"Biografia,Drama,História"
Poseidon,Wolfgang Petersen,2.9,"Ação,Aventura,Drama,Suspense"
Cidade de Deus,Fernando Meirelles,4.2,"Drama,Nacional,Policial"
Toy Story,John Lasseter,4.2,"Animação,Aventura,Comédia,Família,Fantasia"
High Plains Drifter,Clint Eastwood,3.8,"Drama,Faroeste"
Los Amantes Pasajeros,Pedro Almodóvar,3.1,Comédia
The Great Escape,John Sturges,4.1,"Ação,Drama,Guerra"
Das Boot,Wolfgang Petersen,4.2,"Aventura,Drama,Guerra,Suspense"
Goal!,Danny Cannon,3.5,"Drama,Esporte,Romance"
Taxi Driver,Martin Scorsese,4.2,"Drama,Policial,Thriller"
Nymphomaniac: Volume II,Lars Von Trier,3.6,Drama
Stand Up Guys,Fisher Stevens,3.3,"Comédia,Policial,Thriller"
Olympus Has Fallen,Antoine Fuqua,3.3,"Ação,Suspense,Thriller"
The Truman Show,Peter Weir,4.2,"Comédia,Drama,Ficção Científica "
Delivery Man,Ken Scott (V),3.4,"Comédia,Drama"
Intouchables,Eric Toledano,4.4,"Biografia,Comédia,Drama"
Grudge Match,Peter Segal,3.5,"Comédia,Drama,Esporte"
300: Rise of an Empire,Noam Murro,3.2,"Ação,Drama,Fantasia,Guerra,História"
Lucía y el Sexo,Julio Medem,3.7,"Drama,Romance"
Nymphomaniac: Volume I,Lars Von Trier,3.7,Drama
Hotel Rwanda,Terry George (I),4.1,"Biografia,Drama,Guerra,História"
Das Leben der Anderen,Florian Henckel von Donnersmarck,4.3,Drama
Flyboys,Tony Bill (I) ,3.5,"Ação,Aventura,Drama,Guerra"
Four Rooms,Alexandre Rockwell,3.4,Comédia
Fargo,Ethan Coen,3.9,"Comédia,Policial,Thriller"
From Dusk Till Dawn,Robert Rodriguez,3.7,"Ação,Fantasia,Policial,Terror"
The Life of David Gale,Alan Parker,4.2,"Drama,Policial,Suspense"
Die Welle,Dennis Gansel,4.2,"Drama,Thriller"
No Country for Old Men,Ethan Coen,4.1,"Drama,Policial,Suspense"
Paths of Glory,Stanley Kubrick,4.4,"Drama,Guerra,História"
District 9,Neill Blomkamp,3.7,"Ação,Ficção Científica ,Thriller"
The Lord of the Rings: The Two Towers,Peter Jackson,4.4,"Aventura,Fantasia"
Death Proof,Quentin Tarantino,3.9,"Ação,Suspense"
Brother Bear,Aaron Blaise,3.9,"Animação,Aventura,Família,Fantasia"
Trainspotting,Danny Boyle,4.2,"Drama,Policial"
The Karate Kid,John G. Avildsen,3.5,"Ação,Drama,Esporte"
Tropic Thunder,Ben Stiller,3.2,"Ação,Comédia,Guerra"
Open Season,Jill Culton,3.1,"Animação,Aventura,Comédia,Família"
Cars,John Lasseter,3.4,"Animação,Aventura,Comédia,Esporte,Família"
Surf's Up,Ash Brannon,3.3,"Animação,Comédia,Esporte,Família"
The Karate Kid,Harald Zwart,3.2,"Ação,Drama,Esporte,Família"
Driving Miss Daisy,Bruce Beresford,3.9,"Comédia,Drama"
Gifted Hands: The Ben Carson Story,Thomas Carter (II),4.1,"Biografia,Drama"
The Italian Job,F. Gary Gray,3.6,"Ação,Policial,Suspense"
Bolt,Byron Howard,3.3,"Animação,Aventura,Comédia,Drama,Família,Super-herói"
Amadeus,Milos Forman,4.4,"Biografia,Drama,Música"
The Croods,Chris Sanders (II),3.7,"Animação,Aventura,Comédia,Família,Fantasia"
Jackass Presents: Bad Grandpa,Jeff Tremaine,3.2,Comédia
Gladiator,Ridley Scott,4.2,"Ação,Aventura,Drama"
Click,Frank Coraci (I),3.4,"Comédia,Drama,Fantasia,Romance"
La Nostra Vita,Daniele Luchetti,3.7,"Comédia,Drama"
On the Road,Walter Salles,3.3,"Aventura,Drama"
Out of the Furnace,Scott Cooper (III),3.4,"Drama,Policial,Thriller"
The Longest Yard,Peter Segal,3.3,"Comédia,Esporte,Policial"
All Is Lost,J. C. Chandor,3.4,"Ação,Drama"
Dallas Buyers Club,Jean-Marc Vallée,4.3,"Biografia,Drama"
Her,Spike Jonze,4.2,"Drama,Ficção Científica ,Romance"
Unaccompanied Minors,Paul Feig,3.1,"Aventura,Comédia,Família"
Enough Said,Nicole Holofcener,3.5,"Comédia,Drama,Família,Romance"
Dog Day Afternoon,Sidney Lumet,4.2,"Drama,Policial"
Jagten,Thomas Vinterberg,4.2,Drama
Everything is Illuminated,Liev Schreiber,3.9,"Comédia,Drama"
Lone Survivor,Peter Berg (I),3.8,"Ação,Biografia,Drama,Guerra,Thriller"
El Midan,Jehane Noujaim,4.4,"Documentário,Drama,História"
The Pink Panther,Shawn Levy,2.9,"Aventura,Comédia,Mistério,Policial"
La Vita è Bella,Roberto Benigni,4.5,"Comédia,Drama,Guerra,Romance"
O Ano em Que Meus Pais Saíram de Férias,Cao Hamburger,3.7,"Drama,Nacional"
The Prestige,Christopher Nolan,4.2,"Drama,Mistério,Suspense"
American Hustle,David O. Russell,3.4,"Comédia,Drama,Policial"
Short Term 12,Destin Daniel Cretton,4.3,Drama
Psycho,Alfred Hitchcock,4.4,"Mistério,Suspense,Terror"
