Nome,Diretor,Nota,Gênero
"El patrón, radiografía de un crimen",Sebastián Schindel,3.9,"Drama,Policial"
The Power of the Dog,Jane Campion,3.7,"Drama,Faroeste,Mistério"
Shooting Dogs,Michael Caton-Jones,4.1,"Drama,História"
T-34,Aleksey Sidorov (I),3.9,"Ação,Guerra"
Nanjing! Nanjing!,Lu Chuan (I),4.3,"Drama,Guerra,História"
Old Henry,Potsy Ponciroli,3.7,"Ação,Drama,Faroeste"
Glory,Edward Zwick,3.8,"Drama,Guerra,História"
기억의 밤,Jang Hang-Jun,3.8,"Drama,Mistério,Policial,Suspense"
100 metros,Marcel Barrena,4.2,"Biografia,Comédia,Drama"
Man on Fire,Tony Scott,3.9,"Ação,Drama,Policial,Suspense"
Hou Lai de Wo Men,Rene Liu,4.2,"Drama,Romance"
First They Killed My Father,Angelina Jolie,3.8,"Biografia,Drama,Guerra,História"
The Lost Battalion,Russell Mulcahy,3.7,"Drama,Guerra"
Les Femmes de L'ombre,Jean-Paul Salomé,3.9,"Drama,Guerra,História"
Spider-Man 3,Sam Raimi,3.1,"Ação,Aventura,Ficção Científica ,Super-herói"
Bølgen,Roar Uthaug,3.2,"Ação,Drama,Thriller"
Spider-Man 2,Sam Raimi,3.6,"Ação,Aventura,Ficção Científica ,Super-herói"
The Harder They Fall,Jeymes Samuel,3.6,"Ação,Drama,Faroeste"
Spider-Man,Sam Raimi,3.7,"Ação,Aventura,Ficção Científica ,Super-herói"
The Unforgivable,Nora Fingscheidt,3.6,"Drama,Mistério,Policial"
Bac Nord,Cédric Jimenez,3.5,"Ação,Drama,Policial,Thriller"
Machuca,Andrés Wood,4.3,"Biografia,Drama"
The Goonies,Richard Donner,4.1,"Aventura,Comédia,Família"
Papillon,Michael Noer,3.7,"Aventura,Biografia,Drama,Policial"
7 Prisioneiros,Alex Moratto,3.9,"Drama,Nacional"
Samba,Eric Toledano,3.8,"Comédia,Drama"
No Time to Die,Cary Fukunaga,3.6,Ação
De Slag om de Schelde,Matthijs van Heijningen Jr.,3.6,"Drama,Guerra"
Cry Macho,Clint Eastwood,3.0,Drama
A Call to Spy,Lydia Dean Pilcher,3.6,"Biografia,Drama,Guerra,Thriller"
Dune,Denis Villeneuve,3.8,"Ação,Aventura,Drama,Ficção Científica "
Alive,Frank Marshall,3.7,"Aventura,Biografia,Drama,Thriller"
Night Will Fall,André Singer,4.6,Documentário
Nothing But The Truth,Rod Lurie,3.7,"Drama,Suspense"
Dark Waters,Todd Haynes,3.9,"Biografia,Drama,História"
A Quiet Place Part II,John Krasinski,3.6,"Suspense,Terror"
Brestskaya Krepost,Alexander Kott,4.0,"Ação,Drama,Guerra,História"
Judas and the Black Messiah,Shaka King,4.1,"Biografia,Drama,História"
Il Divin Codino,Letizia Lamartire,3.2,Biografia
"Quo Vadis, Aida?",Jasmila Zbanic,4.2,"Drama,Guerra,História"
Resistance,Jonathan Jakubowicz,3.6,"Biografia,Drama,Guerra,História"
Pelé,Ben Nicholas,3.6,"Biografia,Documentário,Esporte"
Marshall,Reginald Hudlin,3.8,Drama
Promising Young Woman,Emerald Fennell,3.8,"Drama,Thriller"
Soul,Kemp Powers,4.3,"Animação,Aventura,Fantasia"
Mosul,Matthew Michael Carnahan,3.5,"Ação,Drama,Guerra"
